CODIGO,DESCRI,AMPDES,BARRAS,FAMILIA,MODELO,TALLA,COLOR,PROMOC,IVA,IVACOM,COMIS,PROVEE,REFPROV,FEUCOM,PUCOM,PMCOM,CANPMC,PMVEN,CANPMV,FECALT,PVP,PVPDTO,DTO1,DTO2,DTO3,DTO4,DTO5,TARIFA1,TARIFA2,TARIFA3,TARIFA4,TARIFA5,TIPARTICUL,BLOQUEO,FULTVEN,FULTCOM,STOCK,STMIN,STMAX,IMAGEN,UBICACION,CTAVENTA,CTACOMPRA,PVPCI,TARIFA1CI,TARIFA2CI,TARIFA3CI,TARIFA4CI,TARIFA5CI,BENEFPVP,BENEFTAR1,BENEFTAR2,BENEFTAR3,BENEFTAR4,BENEFTAR5,TIPOBENEF,MINVARPOR,IMPRECOM,VISUTPV,DESCRITPV,PROPORCION,VENTAPESO,COMPUESTO,COMPONENTE,COMBINADO,FAMCOMBI,year_file
59,Agua Gas,,,4,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,REFRESCOS\VICHY CATALAN.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Agua Gas,,False,,,1,,2020
90,Copa Casa,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMAGENES MARECICO\VINO DE CASA.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,Copa Casa,,False,,,1,,2020
91,Copa Rioja,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,IMAGENES MARECICO\COPA VINO.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Copa Rioja,,False,,,1,,2020
92,Botella casa,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,3.64,0.0,0.0,0.0,0.0,0.0,0.0,3.64,3.64,3.64,3.64,3.64,1,,,,,,,IMAGENES MARECICO\BOTELLA DE VINO.JPG,,70000000,60000000,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,1.0,0.0,,True,Botella casa,,False,,,1,,2020
93,Botella Vino,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,5.45,0.0,0.0,0.0,0.0,0.0,0.0,5.45,5.45,5.45,5.45,5.45,1,,,,,,,IMAGENES MARECICO\BOTELLA DE VINO.JPG,,70000000,60000000,6.0,6.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,1.0,0.0,,True,Botella Vino,,False,,,1,,2020
94,Botella Rioja,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,9.09,9.09,9.09,1,,,,,,,IMAGENES MARECICO\BOTELLA DE VINO.JPG,,70000000,60000000,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,1.0,0.0,,True,Botella Rioja,,False,,,1,,2020
95,Vermut,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,IMAGENES MARECICO\VERMUT.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Vermut,,False,,,1,,2020
96,Vino Casera C,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.91,1,,,,,,,IMAGENES MARECICO\TINTO VERANO.JPG,,70000000,60000000,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,1.0,0.0,,True,Vino Casera C,,False,,,1,,2020
97,G Vino+Casera,,,11,,,,,2,1,0.0,,,,,,,,,2020-06-01,36.36,0.0,0.0,0.0,0.0,0.0,0.0,36.36,36.36,36.36,36.36,36.36,1,,,,,,,IMÁGENES MESÓN DE LUCY\REFRESCOS\J. LINAZA.JPG,,70000000,60000000,40.0,40.0,40.0,40.0,40.0,40.0,0,0,0,0,0,0,1.0,0.0,,True,G Vino+Casera,,False,,,1,,2020
111,Cerdo Horno,,,5,,,,,2,1,0.0,,,,,,,,,2020-06-01,5.45,0.0,0.0,0.0,0.0,0.0,0.0,5.45,5.45,5.45,5.45,5.45,1,,,,,,,IMÁGENES MESÓN DE LUCY\EXTRAS\CERDO H..JPG,,70000000,60000000,6.0,6.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,1.0,0.0,,True,Cerdo Horno,,False,,,1,,2020
112,kepiri,,,5,,,,,2,1,0.0,,,,,,,,,2020-06-01,6.36,0.0,0.0,0.0,0.0,0.0,0.0,6.36,6.36,6.36,6.36,6.36,1,,,,,,,PLATOS Y TAPAS\ENTRECOT.JPG,,70000000,60000000,7.0,7.0,7.0,7.0,7.0,7.0,0,0,0,0,0,0,1.0,0.0,,True,kepiri,,False,,,1,,2020
113,Majadito Huevo,,,5,,,,,2,1,0.0,,,,,,,,,2020-06-01,6.36,0.0,0.0,0.0,0.0,0.0,0.0,6.36,6.36,6.36,6.36,6.36,1,,,,,,,IMÁGENES MESÓN DE LUCY\EXTRAS\MAJADITO.JPG,,70000000,60000000,7.0,7.0,7.0,7.0,7.0,7.0,0,0,0,0,0,0,1.0,0.0,,True,Majadito Huevo,,False,,,2,,2020
115,Picante Pollo,,,5,,,,,2,1,0.0,,,,,,,,,2020-06-01,7.27,0.0,0.0,0.0,0.0,0.0,0.0,7.27,7.27,7.27,7.27,7.27,1,,,,,,,IMÁGENES MESÓN DE LUCY\EXTRAS\PICANTE P..JPG,,70000000,60000000,8.0,8.0,8.0,8.0,8.0,8.0,0,0,0,0,0,0,1.0,0.0,,True,Picante Pollo,,False,,,1,,2020
116,Chicharron Cerdo,,,5,,,,,2,1,0.0,,,,,,,,,2020-06-01,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,9.09,9.09,9.09,1,,,,,,,IMÁGENES MESÓN DE LUCY\EXTRAS\CERDO H..JPG,,70000000,60000000,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,1.0,0.0,,True,Chicharron Cerdo,,False,,,1,,2020
117,Pique Macho (2),,,5,,,,,2,1,0.0,,,,,,,,,2020-06-01,9.09,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,9.09,9.09,9.09,1,,,,,,,PLATOS Y TAPAS\CONEJO AL AJILLO.JPG,,70000000,60000000,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,0,1.0,0.0,,True,Pique Macho (2),,False,,,1,,2020
130,Caballitos,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.09,0.0,0.0,0.0,0.0,0.0,0.0,1.09,1.09,1.09,1.09,1.09,1,,,,,,,IMAGENES MARECICO\CABALLITOS.JPG,,70000000,60000000,1.2,1.2,1.2,1.2,1.2,1.2,0,0,0,0,0,0,1.0,0.0,,True,Caballitos,,False,,,1,,2020
131,tigre,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,IMAGENES MARECICO\TIGRE.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Tigres,,False,,,1,,2020
       132,Marinera,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,IMAGENES MARECICO\MARINERA.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Marinera,,False,,,1,,2020
133,Matrimonio,,,,,,,,2,1,,,,,,,,,,2020-06-01,1.36,,,,,,,1.36,1.36,1.36,1.36,1.36,1,,,,,,,IMAGENES MARECICO\MATRIMONIO.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,,0.0,,True,Matrimonio,,,,,1,6,2020
134,Boqueron Vinagre,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1.36,1.36,1.36,1.36,1.36,1,,,,,,,FOTOS MARECICO\BOQUERON FRITO.JPG,,70000000,60000000,1.5,1.5,1.5,1.5,1.5,1.5,0,0,0,0,0,0,1.0,0.0,,True,Boqueron Vinagre,,False,,,1,,2020
135,Ens. Rusa,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,1.82,0.0,0.0,0.0,0.0,0.0,0.0,1.82,1.82,1.82,1.82,1.82,1,,,,,,,IMAGENES MARECICO\ENSALADILLA RUSA.JPG,,70000000,60000000,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,1.0,0.0,,True,Ens. Rusa,,False,,,1,,2020
136,Ens Bocas,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,IMAGENES MARECICO\ENSALADILLA DE MARISCOS.JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,Ens Bocas,,False,,,1,,2020
137,Boqueron Frito,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,IMAGENES MARECICO\BOQUERON FRITO MEDIA.JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,Boqueron Frito,,False,,,1,,2020
138,Sangre frita,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,PLATOS Y TAPAS\GUISADO.JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,Sangre frita,,False,,,1,,2020
139,Salpicon,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,IMAGENES MARECICO\PIPIRRANA.JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,Salpicon,,False,,,1,,2020
140,Calamares Andaluza,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,5.45,0.0,0.0,0.0,0.0,0.0,0.0,5.45,5.45,5.45,5.45,5.45,1,,,,,,,IMAGENES MARECICO\CALAMARES.JPG,,70000000,60000000,6.0,6.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,1.0,0.0,,True,Calamares Andaluza,,False,,,1,,2020
141,Calamar Plancha,,,6,,,,,2,1,0.0,,,,,,,,,2020-06-01,5.45,0.0,0.0,0.0,0.0,0.0,0.0,5.45,5.45,5.45,5.45,5.45,1,,,,,,,PLATOS Y TAPAS\CALAMAR3.JPG,,70000000,60000000,6.0,6.0,6.0,6.0,6.0,6.0,0,0,0,0,0,0,1.0,0.0,,True,Calamar Plancha,,False,,,1,,2020
151,B. Lomo,,,7,,,,,2,1,0.0,,,,,,,,,2020-06-01,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,BOCADILLOS\BOCADILLO LOMO PLANCHA.JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,B. Lomo,,False,,,1,,2020
152,B. Salchicha,,,7,,,,,2,1,0.0,,,,,,,,,2020-06-01,2.73,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,2.73,2.73,2.73,1,,,,,,,BOCADILLOS\BOCATA.JPG,,70000000,60000000,3.0,3.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,1.0,0.0,,True,B. Salchicha,,False,,,1,7,2020
