NUMTIC,NUMCAJ,CODIGO,DESCRI,CANTIDAD,PRECIO,year_file
5940,100005940,1.0,E. POLLO,12.0,1.0,2020
5941,100005941,1.0,E. POLLO,11.0,1.0,2020
5942,100005942,1.0,E. POLLO,8.0,1.0,2020
5943,100005943,1.0,E. POLLO,8.0,1.0,2020
5944,100005944,1.0,E. POLLO,10.0,1.0,2020
5945,100005945,1.0,E. POLLO,1.0,1.0,2020
5946,100005946,9.0,Salteña,1.0,1.5,2020
5946,100005946,1.0,E. POLLO,4.0,1.0,2020
5947,100005947,9.0,Salteña,1.0,1.5,2020
5947,100005947,1.0,E. POLLO,14.0,1.0,2020
5948,100005948,1.0,E. POLLO,6.0,1.0,2020
5949,100005949,9.0,Salteña,1.0,1.5,2020
5949,100005949,1.0,E. POLLO,1.0,1.0,2020
5950,100005950,1.0,E. POLLO,25.0,1.0,2020
5951,100005951,1.0,E. POLLO,6.0,1.0,2020
5952,100005952,9.0,Salteña,1.0,1.5,2020
5952,100005952,1.0,E. POLLO,17.0,1.0,2020
5953,100005953,1.0,E. POLLO,10.0,1.0,2020
5954,100005954,174.0,Cafe Leche,1.0,1.2,2020
5954,100005954,1.0,E. POLLO,14.0,1.0,2020
5954,100005954,10254.0,cuñape 0.50,1.0,0.5,2020
5955,100005955,1.0,E. POLLO,1.0,1.0,2020
5956,100005956,1.0,E. POLLO,4.0,1.0,2020
5957,100005957,1.0,E. POLLO,1.0,1.0,2020
5957,100005957,175.0,Belmonte,1.0,1.2,2020
5958,100005958,9.0,Salteña,1.0,1.5,2020
5958,100005958,1.0,E. POLLO,1.0,1.0,2020
5959,100005959,9.0,Salteña,1.0,1.5,2020
5959,100005959,1.0,E. POLLO,6.0,1.0,2020
5960,100005960,9.0,Salteña,1.0,1.5,2020
5961,100005961,1.0,E. POLLO,3.0,1.0,2020
5962,100005962,9.0,Salteña,1.0,1.5,2020
5962,100005962,1.0,E. POLLO,3.0,1.0,2020
5963,100005963,1.0,E. POLLO,2.0,1.0,2020
5964,100005964,1.0,E. POLLO,16.0,1.0,2020
5965,100005965,1.0,E. POLLO,3.0,1.0,2020
5966,100005966,192.0,copa coñac,2.0,1.5,2020
5966,100005966,52.0,Refresco,1.0,1.5,2020
5967,100005967,10254.0,cuñape 0.50,1.0,0.5,2020
5968,100005968,1.0,E. POLLO,3.0,1.0,2020
5969,100005969,192.0,copa coñac,2.0,1.5,2020
5970,100005970,1.0,E. POLLO,35.0,1.0,2020
5970,100005970,9.0,Salteña,1.0,1.5,2020
5971,100005971,10254.0,cuñape 0.50,1.0,0.5,2020
5972,100005972,1.0,E. POLLO,8.0,1.0,2020
5973,100005973,1.0,E. POLLO,3.0,1.0,2020
5974,100005974,1.0,E. POLLO,10.0,1.0,2020
5975,100005975,9.0,Salteña,6.0,1.5,2020
5976,100005976,10254.0,cuñape 0.50,1.0,0.5,2020
5977,100005977,1.0,E. POLLO,5.0,1.0,2020
5978,100005978,10254.0,cuñape 0.50,1.0,0.5,2020
5979,100005979,1.0,E. POLLO,3.0,1.0,2020
5980,100005980,75.0,llitro  Jarra,1.0,5.0,2020
5981,100005981,1.0,E. POLLO,1.0,1.0,2020
5982,100005982,1.0,E. POLLO,3.0,1.0,2020
5983,100005983,1.0,E. POLLO,5.0,1.0,2020
5983,100005983,174.0,Cafe Leche,2.0,1.2,2020
5983,100005983,177.0,Colacao,1.0,1.5,2020
5984,100005984,171.0,solo,3.0,1.0,2020
5985,100005985,171.0,solo,6.0,1.0,2020
5986,100005986,171.0,solo,8.0,1.0,2020
5987,100005987,1.0,E. POLLO,3.0,1.0,2020
5988,100005988,1.0,E. POLLO,4.0,1.0,2020
5989,100005989,10254.0,cuñape 0.50,1.0,0.5,2020
5990,100005990,1.0,E. POLLO,7.0,1.0,2020
5991,100005991,1.0,E. POLLO,4.0,1.0,2020
5992,100005992,1.0,E. POLLO,6.0,1.0,2020
5993,100005993,10254.0,cuñape 0.50,1.0,0.5,2020
5994,100005994,10254.0,cuñape 0.50,1.0,0.5,2020
5995,100005995,174.0,Cafe Leche,2.0,1.2,2020
5995,100005995,1.0,E. POLLO,5.0,1.0,2020
5996,100005996,1.0,E. POLLO,3.0,1.0,2020
5997,100005997,10254.0,cuñape 0.50,1.0,0.5,2020
5998,100005998,1.0,E. POLLO,2.0,1.0,2020
5999,100005999,1.0,E. POLLO,2.0,1.0,2020
