NUMCAJ,FECHA,year_file
100004051,2020-10-13,2020
100004052,2020-10-13,2020
100004053,2020-10-13,2020
100004054,2020-10-13,2020
100004055,2020-10-13,2020
100004056,2020-10-13,2020
100004057,2020-10-13,2020
100004058,2020-10-13,2020
100004059,2020-10-13,2020
100004060,2020-10-13,2020
100004061,2020-10-13,2020
100004062,2020-10-13,2020
100004063,2020-10-13,2020
100004064,2020-10-13,2020
100004065,2020-10-13,2020
100004066,2020-10-13,2020
100004067,2020-10-13,2020
100004068,2020-10-13,2020
100004069,2020-10-13,2020
100004070,2020-10-13,2020
100004071,2020-10-13,2020
100004072,2020-10-13,2020
100004073,2020-10-13,2020
100004074,2020-10-13,2020
100004075,2020-10-13,2020
100004076,2020-10-13,2020
100004077,2020-10-13,2020
100004078,2020-10-13,2020
100004079,2020-10-13,2020
100004080,2020-10-13,2020
100004081,2020-10-13,2020
100004082,2020-10-13,2020
100004083,2020-10-13,2020
100004084,2020-10-13,2020
100004085,2020-10-13,2020
100004086,2020-10-13,2020
100004087,2020-10-13,2020
100004088,2020-10-13,2020
100004089,2020-10-13,2020
100004090,2020-10-13,2020
100004091,2020-10-13,2020
100004092,2020-10-13,2020
100004093,2020-10-13,2020
100004094,2020-10-13,2020
100004095,2020-10-13,2020
100004096,2020-10-13,2020
100004097,2020-10-13,2020
100004098,2020-10-13,2020
100004099,2020-10-13,2020
100004100,2020-10-13,2020
100004101,2020-10-13,2020
100004102,2020-10-13,2020
100004103,2020-10-13,2020
100004104,2020-10-13,2020
100004105,2020-10-13,2020
100004106,2020-10-13,2020
100004107,2020-10-13,2020
100004108,2020-10-13,2020
100004109,2020-10-13,2020
100004110,2020-10-13,2020
100004111,2020-10-13,2020
100004112,2020-10-13,2020
100004113,2020-10-13,2020
100004114,2020-10-13,2020
100004115,2020-10-13,2020
100004116,2020-10-13,2020
100004117,2020-10-13,2020
100004118,2020-10-13,2020
100004119,2020-10-13,2020
100004120,2020-10-13,2020
100004121,2020-10-13,2020
100004122,2020-10-14,2020
100004123,2020-10-14,2020
100004124,2020-10-14,2020
100004125,2020-10-14,2020
100004126,2020-10-14,2020
100004127,2020-10-14,2020
100004128,2020-10-14,2020
100004129,2020-10-14,2020
100004130,2020-10-14,2020
100004131,2020-10-14,2020
100004132,2020-10-14,2020
100004133,2020-10-14,2020
100004134,2020-10-14,2020
100004135,2020-10-14,2020
100004136,2020-10-14,2020
100004137,2020-10-14,2020
100004138,2020-10-14,2020
100004139,2020-10-14,2020
100004140,2020-10-14,2020
100004141,2020-10-14,2020
100004142,2020-10-14,2020
100004143,2020-10-14,2020
100004144,2020-10-14,2020
100004145,2020-10-14,2020
100004146,2020-10-14,2020
100004147,2020-10-14,2020
100004148,2020-10-14,2020
100004149,2020-10-14,2020
100004150,2020-10-14,2020
100004151,2020-10-14,2020
100004152,2020-10-14,2020
100004153,2020-10-14,2020
100004154,2020-10-14,2020
100004155,2020-10-14,2020
100004156,2020-10-14,2020
100004157,2020-10-14,2020
100004158,2020-10-14,2020
100004159,2020-10-14,2020
100004160,2020-10-14,2020
100004161,2020-10-14,2020
100004162,2020-10-14,2020
100004163,2020-10-14,2020
100004164,2020-10-14,2020
100004165,2020-10-14,2020
100004166,2020-10-14,2020
100004167,2020-10-14,2020
100004168,2020-10-14,2020
100004169,2020-10-14,2020
100004170,2020-10-14,2020
100004171,2020-10-14,2020
100004172,2020-10-14,2020
100004173,2020-10-14,2020
100004174,2020-10-14,2020
100004175,2020-10-14,2020
100004176,2020-10-14,2020
100004177,2020-10-14,2020
100004178,2020-10-14,2020
100004179,2020-10-14,2020
100004180,2020-10-14,2020
100004181,2020-10-14,2020
100004182,2020-10-14,2020
100004183,2020-10-14,2020
100004184,2020-10-14,2020
100004185,2020-10-14,2020
100004186,2020-10-14,2020
100004187,2020-10-14,2020
100004188,2020-10-14,2020
100004189,2020-10-14,2020
100004190,2020-10-14,2020
100004191,2020-10-15,2020
100004192,2020-10-15,2020
100004193,2020-10-15,2020
100004194,2020-10-15,2020
100004195,2020-10-15,2020
100004196,2020-10-15,2020
100004197,2020-10-15,2020
100004198,2020-10-15,2020
100004199,2020-10-15,2020
100004200,2020-10-15,2020
100004201,2020-10-15,2020
100004202,2020-10-15,2020
100004203,2020-10-15,2020
100004204,2020-10-15,2020
100004205,2020-10-15,2020
100004206,2020-10-15,2020
100004207,2020-10-15,2020
100004208,2020-10-15,2020
100004209,2020-10-15,2020
100004210,2020-10-15,2020
100004211,2020-10-15,2020
100004212,2020-10-15,2020
100004213,2020-10-15,2020
100004214,2020-10-15,2020
100004215,2020-10-15,2020
100004216,2020-10-15,2020
100004217,2020-10-15,2020
100004218,2020-10-15,2020
100004219,2020-10-15,2020
100004220,2020-10-15,2020
100004221,2020-10-15,2020
100004222,2020-10-15,2020
100004223,2020-10-15,2020
100004224,2020-10-15,2020
100004225,2020-10-15,2020
100004226,2020-10-15,2020
100004227,2020-10-15,2020
100004228,2020-10-15,2020
100004229,2020-10-15,2020
100004230,2020-10-15,2020
100004231,2020-10-15,2020
100004232,2020-10-15,2020
100004233,2020-10-15,2020
100004234,2020-10-15,2020
100004235,2020-10-15,2020
100004236,2020-10-15,2020
100004237,2020-10-15,2020
100004238,2020-10-15,2020
100004239,2020-10-15,2020
100004240,2020-10-15,2020
100004241,2020-10-15,2020
100004242,2020-10-15,2020
100004243,2020-10-15,2020
100004244,2020-10-15,2020
100004245,2020-10-15,2020
100004246,2020-10-15,2020
100004247,2020-10-15,2020
100004248,2020-10-15,2020
100004249,2020-10-15,2020
100004250,2020-10-15,2020
100004251,2020-10-15,2020
100004252,2020-10-15,2020
100004253,2020-10-15,2020
100004254,2020-10-15,2020
100004255,2020-10-15,2020
100004256,2020-10-15,2020
100004257,2020-10-15,2020
100004258,2020-10-15,2020
100004259,2020-10-15,2020
100004260,2020-10-15,2020
100004261,2020-10-15,2020
100004262,2020-10-15,2020
100004263,2020-10-15,2020
100004264,2020-10-15,2020
100004265,2020-10-15,2020
100004266,2020-10-15,2020
100004267,2020-10-15,2020
100004268,2020-10-15,2020
100004269,2020-10-15,2020
100004270,2020-10-15,2020
100004271,2020-10-15,2020
100004272,2020-10-15,2020
100004273,2020-10-15,2020
100004274,2020-10-15,2020
100004275,2020-10-15,2020
100004276,2020-10-15,2020
100004277,2020-10-15,2020
100004278,2020-10-15,2020
100004279,2020-10-16,2020
100004280,2020-10-16,2020
100004281,2020-10-16,2020
100004282,2020-10-16,2020
100004283,2020-10-16,2020
100004284,2020-10-16,2020
100004285,2020-10-16,2020
100004286,2020-10-16,2020
100004287,2020-10-16,2020
100004288,2020-10-16,2020
100004289,2020-10-16,2020
100004290,2020-10-16,2020
100004291,2020-10-16,2020
100004292,2020-10-16,2020
100004293,2020-10-16,2020
100004294,2020-10-16,2020
100004295,2020-10-16,2020
100004296,2020-10-16,2020
100004297,2020-10-16,2020
100004298,2020-10-16,2020
100004299,2020-10-16,2020
100004300,2020-10-16,2020
100004301,2020-10-16,2020
100004302,2020-10-16,2020
100004303,2020-10-16,2020
100004304,2020-10-16,2020
100004305,2020-10-16,2020
100004306,2020-10-16,2020
100004307,2020-10-16,2020
100004308,2020-10-16,2020
100004309,2020-10-16,2020
100004310,2020-10-16,2020
100004311,2020-10-16,2020
100004312,2020-10-16,2020
100004313,2020-10-16,2020
100004314,2020-10-16,2020
100004315,2020-10-16,2020
100004316,2020-10-16,2020
100004317,2020-10-16,2020
100004318,2020-10-16,2020
100004319,2020-10-16,2020
100004320,2020-10-16,2020
100004321,2020-10-16,2020
100004322,2020-10-16,2020
100004323,2020-10-16,2020
100004324,2020-10-16,2020
100004325,2020-10-16,2020
100004326,2020-10-16,2020
100004327,2020-10-16,2020
100004328,2020-10-16,2020
100004329,2020-10-16,2020
100004330,2020-10-16,2020
100004331,2020-10-16,2020
100004332,2020-10-16,2020
100004333,2020-10-16,2020
100004334,2020-10-16,2020
100004335,2020-10-16,2020
100004336,2020-10-16,2020
100004337,2020-10-16,2020
100004338,2020-10-16,2020
100004339,2020-10-16,2020
100004340,2020-10-16,2020
100004341,2020-10-16,2020
100004342,2020-10-16,2020
100004343,2020-10-16,2020
100004344,2020-10-16,2020
100004345,2020-10-16,2020
100004346,2020-10-16,2020
100004347,2020-10-16,2020
100004348,2020-10-16,2020
100004349,2020-10-16,2020
100004350,2020-10-16,2020
100004351,2020-10-16,2020
100004352,2020-10-16,2020
100004353,2020-10-16,2020
100004354,2020-10-16,2020
100004355,2020-10-16,2020
100004356,2020-10-16,2020
100004357,2020-10-16,2020
100004358,2020-10-16,2020
100004359,2020-10-16,2020
100004360,2020-10-16,2020
100004361,2020-10-16,2020
100004362,2020-10-16,2020
100004363,2020-10-16,2020
100004364,2020-10-16,2020
100004365,2020-10-16,2020
100004366,2020-10-16,2020
100004367,2020-10-16,2020
100004368,2020-10-16,2020
100004369,2020-10-16,2020
100004370,2020-10-16,2020
100004371,2020-10-16,2020
100004372,2020-10-16,2020
100004373,2020-10-16,2020
100004374,2020-10-16,2020
100004375,2020-10-16,2020
100004376,2020-10-16,2020
100004377,2020-10-16,2020
100004378,2020-10-16,2020
100004379,2020-10-17,2020
100004380,2020-10-17,2020
100004381,2020-10-17,2020
100004382,2020-10-17,2020
100004383,2020-10-17,2020
100004384,2020-10-17,2020
100004385,2020-10-17,2020
100004386,2020-10-17,2020
100004387,2020-10-17,2020
100004388,2020-10-17,2020
100004389,2020-10-17,2020
100004390,2020-10-17,2020
100004391,2020-10-17,2020
100004392,2020-10-17,2020
100004393,2020-10-17,2020
100004394,2020-10-17,2020
100004395,2020-10-17,2020
100004396,2020-10-17,2020
100004397,2020-10-17,2020
100004398,2020-10-17,2020
100004399,2020-10-17,2020
100004400,2020-10-17,2020
100004401,2020-10-17,2020
100004402,2020-10-17,2020
100004403,2020-10-17,2020
100004404,2020-10-17,2020
100004405,2020-10-17,2020
100004406,2020-10-17,2020
100004407,2020-10-17,2020
100004408,2020-10-17,2020
100004409,2020-10-17,2020
100004410,2020-10-17,2020
100004411,2020-10-17,2020
100004412,2020-10-17,2020
100004413,2020-10-17,2020
100004414,2020-10-17,2020
100004415,2020-10-17,2020
100004416,2020-10-17,2020
100004417,2020-10-17,2020
100004418,2020-10-17,2020
100004419,2020-10-17,2020
100004420,2020-10-17,2020
100004421,2020-10-17,2020
100004422,2020-10-17,2020
100004423,2020-10-17,2020
100004424,2020-10-17,2020
100004425,2020-10-17,2020
100004426,2020-10-17,2020
100004427,2020-10-17,2020
100004428,2020-10-17,2020
100004429,2020-10-17,2020
100004430,2020-10-17,2020
100004431,2020-10-17,2020
100004432,2020-10-17,2020
100004433,2020-10-17,2020
100004434,2020-10-17,2020
100004435,2020-10-17,2020
100004436,2020-10-17,2020
100004437,2020-10-17,2020
100004438,2020-10-17,2020
100004439,2020-10-17,2020
100004440,2020-10-17,2020
100004441,2020-10-17,2020
100004442,2020-10-17,2020
100004443,2020-10-17,2020
100004444,2020-10-17,2020
100004445,2020-10-17,2020
100004446,2020-10-17,2020
100004447,2020-10-17,2020
100004448,2020-10-17,2020
100004449,2020-10-17,2020
100004450,2020-10-17,2020
100004451,2020-10-17,2020
100004452,2020-10-17,2020
100004453,2020-10-17,2020
100004454,2020-10-17,2020
100004455,2020-10-17,2020
100004456,2020-10-17,2020
100004457,2020-10-17,2020
100004458,2020-10-17,2020
100004459,2020-10-18,2020
100004460,2020-10-18,2020
100004461,2020-10-18,2020
100004462,2020-10-18,2020
100004463,2020-10-18,2020
100004464,2020-10-18,2020
100004465,2020-10-18,2020
100004466,2020-10-18,2020
100004467,2020-10-18,2020
100004468,2020-10-18,2020
100004469,2020-10-18,2020
100004470,2020-10-18,2020
100004471,2020-10-18,2020
100004472,2020-10-18,2020
100004473,2020-10-18,2020
100004474,2020-10-18,2020
100004475,2020-10-18,2020
100004476,2020-10-18,2020
100004477,2020-10-18,2020
100004478,2020-10-18,2020
100004479,2020-10-18,2020
100004480,2020-10-18,2020
100004481,2020-10-18,2020
100004482,2020-10-18,2020
100004483,2020-10-18,2020
100004484,2020-10-18,2020
100004485,2020-10-18,2020
100004486,2020-10-18,2020
100004487,2020-10-18,2020
100004488,2020-10-18,2020
100004489,2020-10-18,2020
100004490,2020-10-18,2020
100004491,2020-10-18,2020
100004492,2020-10-18,2020
100004493,2020-10-18,2020
100004494,2020-10-18,2020
100004495,2020-10-18,2020
100004496,2020-10-18,2020
100004497,2020-10-18,2020
100004498,2020-10-18,2020
100004499,2020-10-18,2020
100004500,2020-10-18,2020
100004501,2020-10-18,2020
100004502,2020-10-18,2020
100004503,2020-10-18,2020
100004504,2020-10-18,2020
100004505,2020-10-18,2020
100004506,2020-10-18,2020
100004507,2020-10-18,2020
100004508,2020-10-18,2020
100004509,2020-10-18,2020
100004510,2020-10-18,2020
100004511,2020-10-18,2020
100004512,2020-10-18,2020
100004513,2020-10-18,2020
100004514,2020-10-18,2020
100004515,2020-10-18,2020
100004516,2020-10-18,2020
100004517,2020-10-18,2020
100004518,2020-10-18,2020
100004519,2020-10-18,2020
100004520,2020-10-18,2020
100004521,2020-10-18,2020
100004522,2020-10-18,2020
100004523,2020-10-18,2020
100004524,2020-10-18,2020
100004525,2020-10-18,2020
100004526,2020-10-18,2020
100004527,2020-10-18,2020
100004528,2020-10-18,2020
100004529,2020-10-18,2020
100004530,2020-10-18,2020
100004531,2020-10-18,2020
100004532,2020-10-18,2020
100004533,2020-10-18,2020
100004534,2020-10-18,2020
100004535,2020-10-18,2020
100004536,2020-10-18,2020
100004537,2020-10-18,2020
100004538,2020-10-18,2020
100004539,2020-10-18,2020
100004540,2020-10-18,2020
100004541,2020-10-18,2020
100004542,2020-10-18,2020
100004543,2020-10-18,2020
100004544,2020-10-18,2020
100004545,2020-10-18,2020
100004546,2020-10-18,2020
100004547,2020-10-18,2020
100004548,2020-10-18,2020
100004549,2020-10-18,2020
